,created_at,updated_at,title,address,city_code,location,neighborhood,categories,ranking.level,ranking.has_video,ranking.views,ranking.notifications,severity,_geoloc,updates,objectID,_highlightResult
17,1647128714000,1647129065000,Vehicle Burglarized,"7260 S South Shore Dr, Chicago, Illinois, 60649",us-il-chicago,7260 S South Shore Dr,Chicago,['Break In'],1,False,0,0,yellow,"[{'lat': 41.76434198476576, 'lng': -87.56133099438685}]","[{'created_at': 1647128714000, 'text': 'Police are responding to an unconfirmed report of three men breaking into a vehicle.'}, {'created_at': 1647128713999, 'text': 'Incident reported at 7260 S South Shore Dr.'}, {'created_at': 1647129064000, 'text': 'Police at the scene have confirmed two men burglarized a vehicle and fled the scene in a silver Nissan hatchback.'}]",-My-WOehL-m9RKg8jJoI,"{'created_at': {'value': '1647128714000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647129065000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Vehicle Burglarized', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '7260 S South Shore Dr, Chicago, Illinois, 60649', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '7260 S South Shore Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.76434198476576', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.56133099438685', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647128714000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are responding to an unconfirmed report of three men <em>breakin</em>g into a vehicle.', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}}, {'created_at': {'value': '1647128713999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 7260 S South Shore Dr.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647129064000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police at the scene have confirmed two men burglarized a vehicle and fled the scene <em>in</em> a silver Nissan hatchback.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['in']}}]}"
18,1647126239000,1647126239000,Residential Break-In,"3042 W Fletcher St, Chicago, Illinois, 60618",us-il-chicago,3042 W Fletcher St,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.93864600823198, 'lng': -87.7044339700157}]","[{'created_at': 1647126238999, 'text': 'Incident reported at 3042 W Fletcher St.'}, {'created_at': 1647126239000, 'text': 'Police have received an unconfirmed report of a residential break-in.'}]",-My-MxZBkF71Sl9xMwsi,"{'created_at': {'value': '1647126239000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647126239000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Residential <em>Break</em>-<em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}, 'address': {'value': '3042 W Fletcher St, Chicago, Illinois, 60618', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3042 W Fletcher St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.93864600823198', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.7044339700157', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647126238999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3042 W Fletcher St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647126239000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a residential <em>break</em>-<em>in</em>.', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}}]}"
19,1647093983000,1647093983000,House Burglarized,"3905 S California Ave, Chicago, Illinois, 60632",us-il-chicago,3905 S California Ave,"Brighton Park, Chicago",['Break In'],0,False,0,0,yellow,"[{'lat': 41.82243761046038, 'lng': -87.69454305017103}]","[{'created_at': 1647093982999, 'text': 'Incident reported at 3905 S California Ave.'}, {'created_at': 1647093983000, 'text': 'Police have received an unconfirmed report of a house burglary.'}]",-MxyRuadxk5X5vJOvMRu,"{'created_at': {'value': '1647093983000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647093983000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'House Burglarized', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3905 S California Ave, Chicago, Illinois, 60632', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3905 S California Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Brighton Park, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.82243761046038', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69454305017103', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647093982999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3905 S California Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647093983000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a house burglary.', 'matchLevel': 'none', 'matchedWords': []}}]}"
0,1647276895000,1647277109000,Report of Three Armed Men Attempting Burglary,"3442 W Chicago Ave, Chicago, Illinois, 60651",us-il-chicago,3442 W Chicago Ave,"Humboldt Park, Chicago",['Break In'],1,False,0,0,yellow,"[{'lat': 41.89558297427625, 'lng': -87.71289491181155}]","[{'created_at': 1647276895000, 'text': 'Police have received an unconfirmed report of three men armed with chainsaw and hammer trying to break into a vacant building.'}, {'created_at': 1647276894999, 'text': 'Incident reported at 3442 W Chicago Ave.'}, {'created_at': 1647277117000, 'text': 'Police on scene advised further units to proceed at a reduced speed.'}]",-My8Lcr_vwQx4DP3w2rw,"{'created_at': {'value': '1647276895000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647277109000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Three Armed Men Attempting Burglary', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3442 W Chicago Ave, Chicago, Illinois, 60651', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3442 W Chicago Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Humboldt Park, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.89558297427625', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.71289491181155', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647276895000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of three men armed with chainsaw and hammer trying to <em>break</em> into a vacant building.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['break']}}, {'created_at': {'value': '1647276894999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3442 W Chicago Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277117000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police on scene advised further units to proceed at a reduced speed.', 'matchLevel': 'none', 'matchedWords': []}}]}"
1,1647273270000,1647273262000,Attempted Business Burglary,"2901 S King Dr, Chicago, Illinois, 60616",us-il-chicago,2901 S King Dr,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.84146400161157, 'lng': -87.6166959794316}]","[{'created_at': 1647273270000, 'text': 'Police have received an unconfirmed report of a business that was attempted to be broken into.'}, {'created_at': 1647273269999, 'text': 'Incident reported at 2901 S King Dr.'}]",-My87nvJHKIdEhk8T06D,"{'created_at': {'value': '1647273270000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647273262000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Attempted Business Burglary', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '2901 S King Dr, Chicago, Illinois, 60616', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '2901 S King Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.84146400161157', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.6166959794316', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647273270000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a business that was attempted to be broken into.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647273269999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 2901 S King Dr.', 'matchLevel': 'none', 'matchedWords': []}}]}"
2,1647264308000,1647264308000,Tornado Bus Company Burglarized,"3501 S California Ave, Chicago, IL, 60632, USA",us-il-chicago,3501 S California Ave,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.8297580032748, 'lng': -87.69435196541919}]","[{'created_at': 1647264307999, 'text': 'Incident reported at 3501 S California Ave.'}, {'created_at': 1647264308000, 'text': 'Police have received an unconfirmed report of a  burglary at Tornado Bus Company.'}]",-My7adqoHSk3ry7Puszd,"{'created_at': {'value': '1647264308000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647264308000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Tornado Bus Company Burglarized', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3501 S California Ave, Chicago, IL, 60632, USA', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3501 S California Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.82975800327480', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69435196541919', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647264307999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3501 S California Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647264308000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a  burglary at Tornado Bus Company.', 'matchLevel': 'none', 'matchedWords': []}}]}"
3,1647258637000,1647258636000,Store Burglarized,"3603 S California Ave, Chicago, Illinois, 60632",us-il-chicago,3603 S California Ave,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.82802802036889, 'lng': -87.69450803645631}]","[{'created_at': 1647258637000, 'text': 'Police have received an unconfirmed report of a store burglary.'}, {'created_at': 1647258636999, 'text': 'Incident reported at 3603 S California Ave.'}]",-My7G-wh4kGZ_GVQaUkI,"{'created_at': {'value': '1647258637000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647258636000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Store Burglarized', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3603 S California Ave, Chicago, Illinois, 60632', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3603 S California Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.82802802036889', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69450803645631', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647258637000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a store burglary.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647258636999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3603 S California Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
4,1647250370000,1647254338000,Macy's Burglarized,"E Washington St & N Wabash Ave, Chicago, Illinois, 60602",us-il-chicago,E Washington St & N Wabash Ave,"Loop, Chicago",['Break In'],1,False,0,0,yellow,"[{'lat': 41.88326002651976, 'lng': -87.62625989859283}]","[{'created_at': 1647250369999, 'text': 'Incident reported at 111 N State St.'}, {'created_at': 1647250370000, 'text': 'Police have received an unconfirmed report of a person breaking into a business.'}, {'created_at': 1647250737999, 'text': 'The address reported for this incident has changed to E Washington St & N Wabash Ave.'}, {'created_at': 1647250738000, 'text': 'Police on the scene have confirmed a business was burglarized. They have advised a change in location to a more precise address.'}, {'created_at': 1647254065000, 'text': ""Police updated that the burglary happened at Macy's.""}]",-My6lUkJ1HJB6hyLsfOn,"{'created_at': {'value': '1647250370000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647254338000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': ""Macy's Burglarized"", 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'E Washington St & N Wabash Ave, Chicago, Illinois, 60602', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'E Washington St & N Wabash Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Loop, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.88326002651976', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.62625989859283', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647250369999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 111 N State St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647250370000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a person <em>breakin</em>g into a business.', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}}, {'created_at': {'value': '1647250737999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The address reported for this incident has changed to E Washington St & N Wabash Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647250738000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police on the scene have confirmed a business was burglarized. They have advised a change <em>in</em> location to a more precise address.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['in']}}, {'created_at': {'value': '1647254065000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': ""Police updated that the burglary happened at Macy's."", 'matchLevel': 'none', 'matchedWords': []}}]}"
5,1647232003000,1647232003000,Four Men Attempting to Burglarize Vehicle,"1632 N Sawyer Ave, Chicago, Illinois, 60647",us-il-chicago,1632 N Sawyer Ave,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.9111239872459, 'lng': -87.7087550087407}]","[{'created_at': 1647232002999, 'text': 'Incident reported at 1632 N Sawyer Ave.'}, {'created_at': 1647232003000, 'text': 'Police have received an unconfirmed report of four men attempting to burglarize a vehicle.'}]",-My5fPp3nQoSjdvIijiP,"{'created_at': {'value': '1647232003000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647232003000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Four Men Attempting to Burglarize Vehicle', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '1632 N Sawyer Ave, Chicago, Illinois, 60647', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '1632 N Sawyer Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.9111239872459', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.7087550087407', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647232002999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 1632 N Sawyer Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647232003000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of four men attempting to burglarize a vehicle.', 'matchLevel': 'none', 'matchedWords': []}}]}"
6,1647221912000,1647221913000,Man Attempting to Break Into House,"6223 S Princeton Ave, Chicago, Illinois, 60621",us-il-chicago,6223 S Princeton Ave,Chicago,['Break In'],0,False,0,0,yellow,"[{'lat': 41.78102599539841, 'lng': -87.63236100209521}]","[{'created_at': 1647221911999, 'text': 'Incident reported at 6223 S Princeton Ave.'}, {'created_at': 1647221912000, 'text': 'Police have received an unconfirmed report of a man attempting to break into a house.'}]",-My53vXjkGLY9X_MIAQJ,"{'created_at': {'value': '1647221912000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647221913000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man Attempting to <em>Break</em> Into House', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['break']}, 'address': {'value': '6223 S Princeton Ave, Chicago, Illinois, 60621', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '6223 S Princeton Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break</em> <em>In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.78102599539841', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.63236100209521', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647221911999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 6223 S Princeton Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647221912000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man attempting to <em>break</em> into a house.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['break']}}]}"
7,1647199207000,1647199230000,"Report of Man Armed With Knife, Taser Breaking Into House","5436 S Loomis Blvd, Chicago, Illinois, 60609",us-il-chicago,5436 S Loomis Blvd,Chicago,['Break In'],1,False,0,0,yellow,"[{'lat': 41.79482499686759, 'lng': -87.66005397199656}]","[{'created_at': 1647199206999, 'text': 'Incident reported at 5436 S Loomis Blvd.'}, {'created_at': 1647199207000, 'text': 'Police have received an unconfirmed report of a man armed with a knife and a taser breaking onto a house.'}]",-My3iJIaEouIA5c5uFPh,"{'created_at': {'value': '1647199207000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647199230000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Man Armed With Knife, Taser <em>Breakin</em>g Into House', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}, 'address': {'value': '5436 S Loomis Blvd, Chicago, Illinois, 60609', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '5436 S Loomis Blvd', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Break In</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['break', 'in']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.79482499686759', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.66005397199656', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647199206999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 5436 S Loomis Blvd.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647199207000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man armed with a knife and a taser <em>breakin</em>g onto a house.', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['break', 'in']}}]}"
