,created_at,updated_at,title,address,city_code,location,neighborhood,categories,ranking.level,ranking.has_video,ranking.views,ranking.notifications,severity,_geoloc,updates,objectID,_highlightResult
0,1647278465000,1647278476000,Chevrolet U-Haul Truck Stolen,"3911 W Chicago Ave, Chicago, IL, 60651, USA",us-il-chicago,3911 W Chicago Ave,Chicago,['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.89517201012706, 'lng': -87.72415600145429}]","[{'created_at': 1647278465000, 'text': ""Police have received an unconfirmed report of a Chevrolet U-Haul truck stolen at Pizza Bella's.""}, {'created_at': 1647278464999, 'text': 'Incident reported at 3911 W Chicago Ave.'}]",-My8Rc5vgfK01A88E59W,"{'created_at': {'value': '1647278465000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647278476000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Chevrolet U-Haul Truck Stolen', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3911 W Chicago Ave, Chicago, IL, 60651, USA', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3911 W Chicago Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.89517201012706', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.72415600145429', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647278465000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': ""Police have received an unconfirmed report of a Chevrolet U-Haul truck stolen at Pizza Bella's."", 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647278464999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3911 W Chicago Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
1,1647254197000,1647254198000,Catalytic Converter Stolen,"1931 W Cermak Rd, Chicago, Illinois, 60608",us-il-chicago,1931 W Cermak Rd,Chicago,['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.8519459906276, 'lng': -87.67454703695819}]","[{'created_at': 1647254196999, 'text': 'Incident reported at 1931 W Cermak Rd.'}, {'created_at': 1647254197000, 'text': 'Police have received an unconfirmed report of a catalytic converter stolen.'}]",-My7-4Zro-v7sNrKJkxL,"{'created_at': {'value': '1647254197000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647254198000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Catalytic Converter Stolen', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '1931 W Cermak Rd, Chicago, Illinois, 60608', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '1931 W Cermak Rd', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.8519459906276', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.67454703695819', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647254196999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 1931 W Cermak Rd.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647254197000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a catalytic converter stolen.', 'matchLevel': 'none', 'matchedWords': []}}]}"
2,1647240306000,1647240380000,Six Men Attempting to Steal Vehicle,"5800 S Francisco Ave, Chicago, Illinois, 60629",us-il-chicago,5800 S Francisco Ave,Chicago,['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.78805501749181, 'lng': -87.69637401574123}]","[{'created_at': 1647240306000, 'text': 'Police have received an unconfirmed 911 report of five to six men attempting to steal a vehicle.'}, {'created_at': 1647240305999, 'text': 'Incident reported at 5800 S Francisco Ave.'}]",-My6A4nUYRgcwhVzeT-z,"{'created_at': {'value': '1647240306000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647240380000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Six Men Attempting to Steal Vehicle', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '5800 S Francisco Ave, Chicago, Illinois, 60629', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '5800 S Francisco Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.78805501749181', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69637401574123', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647240306000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed 911 report of five to six men attempting to steal a vehicle.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647240305999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 5800 S Francisco Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
3,1647232789000,1647233069000,Dodge Challenger Taken in Carjacking,"320 W Erie St, Chicago, Illinois, 60654",us-il-chicago,320 W Erie St,Chicago,['Robbery / Theft '],2,False,0,0,red,"[{'lat': 41.89419597941182, 'lng': -87.63650903833867}]","[{'created_at': 1647232788999, 'text': 'Incident reported at 320 W Erie St.'}, {'created_at': 1647232789000, 'text': 'Police on the scene have confirmed that a red Dodge Challenger with an IL plate number of Z126713 was taken in a carjacking.'}, {'created_at': 1647232848000, 'text': 'The suspect fled northbound from W Erie St on N Orleans St.'}]",-My5iR8RlXHAK81D7FPp,"{'created_at': {'value': '1647232789000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647233069000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Dodge Challenger Taken in Carjacking', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '320 W Erie St, Chicago, Illinois, 60654', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '320 W Erie St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '2', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'red', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.89419597941182', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.63650903833867', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647232788999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 320 W Erie St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647232789000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police on the scene have confirmed that a red Dodge Challenger with an IL plate number of Z126713 was taken in a carjacking.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647232848000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The suspect fled northbound from W Erie St on N Orleans St.', 'matchLevel': 'none', 'matchedWords': []}}]}"
4,1647230498000,1647230498000,Jeep Wrangler Stolen,"W Walnut St & N Halsted St, Chicago, Illinois, 60661",us-il-chicago,W Walnut St & N Halsted St,"West Loop, Chicago",['Robbery / Theft '],1,False,0,0,yellow,"[{'lat': 41.88625006093002, 'lng': -87.64748991823173}]","[{'created_at': 1647230497999, 'text': 'Incident reported at W Walnut St & N Halsted St.'}, {'created_at': 1647230498000, 'text': 'Police on scene have confirmed that a white Jeep Wrangler was stolen.'}]",-My5_fUgJDsHWZpZUs2T,"{'created_at': {'value': '1647230498000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647230498000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Jeep Wrangler Stolen', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'W Walnut St & N Halsted St, Chicago, Illinois, 60661', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'W Walnut St & N Halsted St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'West Loop, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.88625006093002', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.64748991823173', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647230497999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at W Walnut St & N Halsted St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647230498000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police on scene have confirmed that a white Jeep Wrangler was stolen.', 'matchLevel': 'none', 'matchedWords': []}}]}"
5,1647228882000,1647229666000,Woman Carjacked,"E 65th St & S King Dr, Chicago, Illinois, 60637",us-il-chicago,E 65th St & S King Dr,"Woodlawn, Chicago",['Robbery / Theft '],2,False,0,0,red,"[{'lat': 41.77660005715518, 'lng': -87.61553994734564}]","[{'created_at': 1647228881999, 'text': 'Incident reported at E 65th St & S King Dr.'}, {'created_at': 1647228882000, 'text': 'Police have received an unconfirmed 911 report of a woman carjacked at gunpoint.'}, {'created_at': 1647229666000, 'text': 'Police have confirmed that a red or maroon 2008 Chevrolet Equinox was taken during a carjacking. The vehicle was last seen eastbound on 2001 E 71st Street.'}]",-My5UVs_vsCC3NHTcHtf,"{'created_at': {'value': '1647228882000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647229666000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Woman Carjacked', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'E 65th St & S King Dr, Chicago, Illinois, 60637', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'E 65th St & S King Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Woodlawn, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '2', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'red', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.77660005715518', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.61553994734564', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647228881999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at E 65th St & S King Dr.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647228882000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed 911 report of a woman carjacked at gunpoint.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647229666000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have confirmed that a red or maroon 2008 Chevrolet Equinox was taken during a carjacking. The vehicle was last seen eastbound on 2001 E 71st Street.', 'matchLevel': 'none', 'matchedWords': []}}]}"
6,1647222345000,1647222345000,Person Carjacked,"212 W Cermak Rd, Chicago, Illinois, 60616",us-il-chicago,212 W Cermak Rd,Chicago,['Robbery / Theft '],1,False,0,0,yellow,"[{'lat': 41.85314799745248, 'lng': -87.63236401958035}]","[{'created_at': 1647222344999, 'text': 'Incident reported at 212 W Cermak Rd.'}, {'created_at': 1647222345000, 'text': 'Police have received an unconfirmed 911 report of a person carjacked.'}]",-My55ZxSJ2IE0gbS6MoV,"{'created_at': {'value': '1647222345000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647222345000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Person Carjacked', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '212 W Cermak Rd, Chicago, Illinois, 60616', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '212 W Cermak Rd', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.85314799745248', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.63236401958035', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647222344999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 212 W Cermak Rd.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647222345000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed 911 report of a person carjacked.', 'matchLevel': 'none', 'matchedWords': []}}]}"
7,1647208011000,1647208010000,Car Collision,"2564 S Washtenaw Ave, Chicago, Illinois, 60608",us-il-chicago,2564 S Washtenaw Ave,Chicago,['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.84516599487753, 'lng': -87.69301597387205}]","[{'created_at': 1647208011000, 'text': 'Police have received a report of a car collision.'}, {'created_at': 1647208010999, 'text': 'Incident reported at 2564 S Washtenaw Ave.'}]",-My4EtF0vsexENQ6ukQ1,"{'created_at': {'value': '1647208011000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647208010000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Car Collision', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '2564 S Washtenaw Ave, Chicago, Illinois, 60608', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '2564 S Washtenaw Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.84516599487753', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69301597387205', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647208011000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received a report of a car collision.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647208010999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 2564 S Washtenaw Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
8,1647207128000,1647207128000,Vehicle Stolen,"336 S Hamlin Blvd, Chicago, Illinois, 60624",us-il-chicago,336 S Hamlin Blvd,"West Garfield Park, Chicago",['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.87610169925557, 'lng': -87.7207385516308}]","[{'created_at': 1647207127999, 'text': 'Incident reported at 336 S Hamlin Blvd.'}, {'created_at': 1647207128000, 'text': 'Police have received a report of a vehicle that was stolen.'}]",-My4BWmOB58AxB9M015d,"{'created_at': {'value': '1647207128000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647207128000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Vehicle Stolen', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '336 S Hamlin Blvd, Chicago, Illinois, 60624', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '336 S Hamlin Blvd', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'West Garfield Park, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.87610169925557', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.7207385516308', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647207127999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 336 S Hamlin Blvd.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647207128000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received a report of a vehicle that was stolen.', 'matchLevel': 'none', 'matchedWords': []}}]}"
9,1647199022000,1647199022000,Car Collision With Injuries,"W Armitage Ave & N Kenmore Ave, Chicago, Illinois, 60614",us-il-chicago,W Armitage Ave & N Kenmore Ave,"Lincoln Park, Chicago",['Robbery / Theft '],1,False,0,0,yellow,"[{'lat': 41.91810003571123, 'lng': -87.65458989313552}]","[{'created_at': 1647199021999, 'text': 'Incident reported at W Armitage Ave & N Kenmore Ave.'}, {'created_at': 1647199022000, 'text': 'Police have received a report of a car collision with injuries.'}]",-My3haqlWsjluezcudzP,"{'created_at': {'value': '1647199022000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647199022000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Car Collision With Injuries', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'W Armitage Ave & N Kenmore Ave, Chicago, Illinois, 60614', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'W Armitage Ave & N Kenmore Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Lincoln Park, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.91810003571123', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.65458989313552', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647199021999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at W Armitage Ave & N Kenmore Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647199022000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received a report of a car collision with injuries.', 'matchLevel': 'none', 'matchedWords': []}}]}"
10,1647186244000,1647186269000,White Chevrolet Van Stolen,"4814 W Ohio St, Chicago, Illinois, 60644",us-il-chicago,4814 W Ohio St,"Austin, Chicago",['Robbery / Theft '],0,False,0,0,yellow,"[{'lat': 41.89143170171257, 'lng': -87.74604203432894}]","[{'created_at': 1647186243999, 'text': 'Incident reported at 4814 W Ohio St.'}, {'created_at': 1647186244000, 'text': 'Police are looking for a stolen 2008 white Chevrolet passenger van.'}, {'created_at': 1647186269000, 'text': 'The vehicle has license plate CD38866.'}]",-My2wr6jatDXy37dHFbz,"{'created_at': {'value': '1647186244000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647186269000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'White Chevrolet Van Stolen', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '4814 W Ohio St, Chicago, Illinois, 60644', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '4814 W Ohio St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Austin, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Robbery</em> / <em>Theft</em> ', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['robbery', 'theft']}], 'ranking.level': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.89143170171257', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.74604203432894', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647186243999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 4814 W Ohio St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647186244000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are looking for a stolen 2008 white Chevrolet passenger van.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647186269000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The vehicle has license plate CD38866.', 'matchLevel': 'none', 'matchedWords': []}}]}"
