,created_at,updated_at,title,address,city_code,location,neighborhood,categories,ranking.level,ranking.has_video,ranking.views,ranking.notifications,severity,_geoloc,updates,objectID,_highlightResult
0,1647280446000,1647280737000,Report of Person With Gun Inside Vehicle,"E 31st St & S Lake Shore Dr, Chicago, Illinois, 60616",us-il-chicago,E 31st St & S Lake Shore Dr,"Douglas, Chicago",['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.83859005656026, 'lng': -87.60861993190302}]","[{'created_at': 1647280446000, 'text': 'Police have received an unconfirmed report of a person armed with a gun inside a vehicle.'}, {'created_at': 1647280445999, 'text': 'Incident reported at E 31st St & S Lake Shore Dr.'}]",-My8ZApcSz7HfheRLQwH,"{'created_at': {'value': '1647280446000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647280737000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Person With <em>Gun</em> Inside Vehicle', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['gun']}, 'address': {'value': 'E 31st St & S Lake Shore Dr, Chicago, Illinois, 60616', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'E 31st St & S Lake Shore Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Douglas, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.83859005656026', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.60861993190302', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647280446000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a person armed with a <em>gun</em> inside a vehicle.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['gun']}}, {'created_at': {'value': '1647280445999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at E 31st St & S Lake Shore Dr.', 'matchLevel': 'none', 'matchedWords': []}}]}"
1,1647280318000,1647280310000,Report of Shots Fired,"2400 S Karlov Ave, Chicago, Illinois, 60623",us-il-chicago,2400 S Karlov Ave,Chicago,['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.84776400767629, 'lng': -87.72653302537582}]","[{'created_at': 1647280318000, 'text': 'Police are responding to an unconfirmed report of shots fired.'}, {'created_at': 1647280317999, 'text': 'Incident reported at 2400 S Karlov Ave.'}]",-My8YgZnbfjtLzjzh9kq,"{'created_at': {'value': '1647280318000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647280310000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Shots Fired', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '2400 S Karlov Ave, Chicago, Illinois, 60623', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '2400 S Karlov Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.84776400767629', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.72653302537582', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647280318000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are responding to an unconfirmed report of shots fired.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647280317999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 2400 S Karlov Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
2,1647280270000,1647280564000,Report of Person Armed With Gun,"4400 S State St, Chicago, Illinois, 60653",us-il-chicago,4400 S State St,"Bronzeville, Chicago",['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.81462157298822, 'lng': -87.62628520037674}]","[{'created_at': 1647280269999, 'text': 'Incident reported at 4400 S State St.'}, {'created_at': 1647280270000, 'text': 'Police have received an unconfirmed report of a person armed with a gun.'}, {'created_at': 1647280305000, 'text': 'The suspect is accompanied by two other people and are heading northbound toward the gas station.'}, {'created_at': 1647280451000, 'text': 'Police are on the scene.'}, {'created_at': 1647280564000, 'text': ""Police are on scene and have disregarded any additional unit that's responding.""}]",-My8YXuS9KxYQ62Co-U0,"{'created_at': {'value': '1647280270000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647280564000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Person Armed With <em>Gun</em>', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['gun']}, 'address': {'value': '4400 S State St, Chicago, Illinois, 60653', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '4400 S State St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Bronzeville, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.81462157298822', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.62628520037674', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647280269999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 4400 S State St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647280270000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a person armed with a <em>gun</em>.', 'matchLevel': 'partial', 'fullyHighlighted': False, 'matchedWords': ['gun']}}, {'created_at': {'value': '1647280305000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The suspect is accompanied by two other people and are heading northbound toward the gas station.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647280451000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are on the scene.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647280564000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': ""Police are on scene and have disregarded any additional unit that's responding."", 'matchLevel': 'none', 'matchedWords': []}}]}"
3,1647277175000,1647277702000,Report of Shot Fired,"455 E Waterside Dr, Chicago, Illinois, 60601",us-il-chicago,455 E Waterside Dr,"Loop, Chicago",['Gun Related'],1,True,0,0,yellow,"[{'lat': 41.8868658681417, 'lng': -87.61621254789885}]","[{'created_at': 1647277175000, 'text': 'Police have received an unconfirmed report of a shot fired.'}, {'created_at': 1647277174999, 'text': 'Incident reported at 455 E Waterside Dr.'}, {'created_at': 1647277670000, 'text': 'Police on scene advised further units to proceed at a reduced speed.'}, {'created_at': 1647277710000, 'text': 'A Citizen user Kflens shows police cars.'}]",-My8MhLna8wLpr7oU42-,"{'created_at': {'value': '1647277175000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647277702000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Shot Fired', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '455 E Waterside Dr, Chicago, Illinois, 60601', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '455 E Waterside Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Loop, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.88686586814170', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.61621254789885', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647277175000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a shot fired.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277174999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 455 E Waterside Dr.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277670000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police on scene advised further units to proceed at a reduced speed.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277710000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'A Citizen user Kflens shows police cars.', 'matchLevel': 'none', 'matchedWords': []}}]}"
4,1647276715000,1647277142000,Report of Person Shot,"6612 S Justine St, Chicago, Illinois, 60636",us-il-chicago,6612 S Justine St,Chicago,['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.77355101414656, 'lng': -87.66308696366059}]","[{'created_at': 1647276714999, 'text': 'Incident reported at 6612 S Justine St.'}, {'created_at': 1647276715000, 'text': 'Police have received an unconfirmed report of a person shot.'}, {'created_at': 1647277071000, 'text': ""Police are on the scene and they don't see anyone.""}]",-My8Kyx3lfww7ssA3gp5,"{'created_at': {'value': '1647276715000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647277142000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Person Shot', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '6612 S Justine St, Chicago, Illinois, 60636', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '6612 S Justine St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.77355101414656', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.66308696366059', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647276714999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 6612 S Justine St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647276715000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a person shot.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277071000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': ""Police are on the scene and they don't see anyone."", 'matchLevel': 'none', 'matchedWords': []}}]}"
5,1647273398000,1647280523000,Two Gunshots Detected,"6516 S Greenwood Ave, Chicago, Illinois, 60637",us-il-chicago,6516 S Greenwood Ave,Chicago,['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.77627400112164, 'lng': -87.60007902402434}]","[{'created_at': 1647273397999, 'text': 'Incident reported at 6516 S Greenwood Ave.'}, {'created_at': 1647273398000, 'text': 'ShotSpotter technology has detected two possible rounds of gunfire. ShotSpotter devices pick up gunshots or similar loud noises, such as fireworks or backfiring vehicles.'}]",-My88K5lb3aH2hlzoYk9,"{'created_at': {'value': '1647273398000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647280523000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Two Gunshots Detected', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '6516 S Greenwood Ave, Chicago, Illinois, 60637', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '6516 S Greenwood Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.77627400112164', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.60007902402434', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647273397999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 6516 S Greenwood Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647273398000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'ShotSpotter technology has detected two possible rounds of gunfire. ShotSpotter devices pick up gunshots or similar loud noises, such as fireworks or backfiring vehicles.', 'matchLevel': 'none', 'matchedWords': []}}]}"
6,1647272745000,1647273999000,Family Dollar Robbed at Gunpoint,"6800 S Ashland Ave, Chicago, Illinois, 60636",us-il-chicago,6800 S Ashland Ave,Chicago,['Gun Related'],2,False,0,0,red,"[{'lat': 41.77024200641097, 'lng': -87.66434902682171}]","[{'created_at': 1647272744999, 'text': 'Incident reported at 6800 S Ashland Ave.'}, {'created_at': 1647272745000, 'text': 'Police have received an unconfirmed report of a man robbing the Family Dollar at gunpoint.'}, {'created_at': 1647272852000, 'text': 'The suspect is reportedly heading southbound on S Ashland Avenue.'}, {'created_at': 1647272913000, 'text': 'The suspect fled on foot.'}, {'created_at': 1647272929000, 'text': 'Police are on the scene and are advising the suspect was armed.'}, {'created_at': 1647273227000, 'text': 'Police advise that they are reviewing video footage.'}, {'created_at': 1647273585000, 'text': 'Police are looking for a suspect described as a Black man, around 25 years old, 5\'6"", dressed in all black clothing, has a mask on his face, and is armed. The suspect fled the scene southbound on Ashland Avenue.'}]",-My85pfuNNF9sQcEHdHT,"{'created_at': {'value': '1647272745000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647273999000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Family Dollar Robbed at Gunpoint', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '6800 S Ashland Ave, Chicago, Illinois, 60636', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '6800 S Ashland Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '2', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'red', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.77024200641097', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.66434902682171', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647272744999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 6800 S Ashland Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647272745000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man robbing the Family Dollar at gunpoint.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647272852000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The suspect is reportedly heading southbound on S Ashland Avenue.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647272913000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'The suspect fled on foot.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647272929000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are on the scene and are advising the suspect was armed.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647273227000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police advise that they are reviewing video footage.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647273585000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are looking for a suspect described as a Black man, around 25 years old, 5\'6"", dressed in all black clothing, has a mask on his face, and is armed. The suspect fled the scene southbound on Ashland Avenue.', 'matchLevel': 'none', 'matchedWords': []}}]}"
7,1647272125000,1647272591000,Two Gunshots Detected,"4525 S Honore St, Chicago, Illinois, 60609",us-il-chicago,4525 S Honore St,Chicago,['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.81141399862776, 'lng': -87.67086796819738}]","[{'created_at': 1647272124999, 'text': 'Incident reported at 4525 S Honore St.'}, {'created_at': 1647272125000, 'text': 'ShotSpotter technology has detected two possible rounds of gunfire. ShotSpotter devices pick up gunshots or similar loud noises, such as fireworks or backfiring vehicles.'}]",-My83TBhvoJK5dJqtXON,"{'created_at': {'value': '1647272125000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647272591000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Two Gunshots Detected', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '4525 S Honore St, Chicago, Illinois, 60609', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '4525 S Honore St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.81141399862776', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.67086796819738', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647272124999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 4525 S Honore St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647272125000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'ShotSpotter technology has detected two possible rounds of gunfire. ShotSpotter devices pick up gunshots or similar loud noises, such as fireworks or backfiring vehicles.', 'matchLevel': 'none', 'matchedWords': []}}]}"
8,1647270241000,1647270247000,Report of Shots Fired,"5900 S Racine Ave, Chicago, Illinois, 60636",us-il-chicago,5900 S Racine Ave,"West Englewood, Chicago",['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.7868110378846, 'lng': -87.65477445055893}]","[{'created_at': 1647270240999, 'text': 'Incident reported at 5900 S Racine Ave.'}, {'created_at': 1647270241000, 'text': 'Police have received an unconfirmed report of multiple shots heard in the area.'}]",-My7xId2WU0rCxNr5u3m,"{'created_at': {'value': '1647270241000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647270247000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Report of Shots Fired', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '5900 S Racine Ave, Chicago, Illinois, 60636', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '5900 S Racine Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'West Englewood, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.78681103788460', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.65477445055893', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647270240999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 5900 S Racine Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647270241000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of multiple shots heard in the area.', 'matchLevel': 'none', 'matchedWords': []}}]}"
9,1647266531000,1647266530000,Gunshot Detected,"3658 W North Ave, Chicago, Illinois, 60647",us-il-chicago,3658 W North Ave,Chicago,['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.91028399481917, 'lng': -87.71877398142534}]","[{'created_at': 1647266531000, 'text': 'ShotSpotter technology has detected one round of potential gunfire. These devices pick up gunshots or similarly loud noises such as fireworks or backfiring vehicles.'}, {'created_at': 1647266530999, 'text': 'Incident reported at 3658 W North Ave.'}]",-My7j7GtRkdGGs-ymXj5,"{'created_at': {'value': '1647266531000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647266530000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Gunshot Detected', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3658 W North Ave, Chicago, Illinois, 60647', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3658 W North Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.91028399481917', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.71877398142534', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647266531000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'ShotSpotter technology has detected one round of potential gunfire. These devices pick up gunshots or similarly loud noises such as fireworks or backfiring vehicles.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647266530999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3658 W North Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
10,1647266078000,1647266078000,One Gunshot Detected,"E 43rd St & S Prairie Ave, Chicago, Illinois, 60653",us-il-chicago,E 43rd St & S Prairie Ave,"Bronzeville, Chicago",['Gun Related'],1,False,0,0,yellow,"[{'lat': 41.81660004976047, 'lng': -87.61977993306694}]","[{'created_at': 1647266077999, 'text': 'Incident reported at E 43rd St & S Prairie Ave.'}, {'created_at': 1647266078000, 'text': 'ShotSpotter technology has detected one possible gunshot. These devices pick up gunshots or similarly loud noises such as fireworks or backfiring vehicles.'}]",-My7hOoihjmTlr_2ZD96,"{'created_at': {'value': '1647266078000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647266078000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'One Gunshot Detected', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'E 43rd St & S Prairie Ave, Chicago, Illinois, 60653', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'E 43rd St & S Prairie Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Bronzeville, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Gun</em> <em>Related</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['gun', 'related']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.81660004976047', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.61977993306694', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647266077999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at E 43rd St & S Prairie Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647266078000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'ShotSpotter technology has detected one possible gunshot. These devices pick up gunshots or similarly loud noises such as fireworks or backfiring vehicles.', 'matchLevel': 'none', 'matchedWords': []}}]}"
